Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Home,suphanan,intercept,0,0,26,87,-,-
Home,jakkapan,foul,0,0,25,71,-,-
Home,aris,clear,0,0,9,43,-,-
Home,peeradol,foul,0,0,53,81,-,-
Home,aris,clear,0,0,2,24,-,-
Home,chayawat,clear,0,0,5,40,-,-
Home,jaroensak,foul,0,0,62,21,-,-
Home,peeradol,getball,0,0,30,52,-,-
Home,suphanan,block,0,0,7,83,-,-
Home,jakkapan,clear,0,0,7,64,-,-
Home,jakkapan,intercept,0,0,7,77,-,-
Home,suphanan,clear,0,0,5,68,-,-
Home,jakkapan,intercept,0,0,22,72,-,-
Home,ernesto,getball,0,0,23,11,-,-
Home,aris,intercept,0,0,28,33,-,-
Home,jakkapan,block,0,0,13,44,-,-
Home,ernesto,getball,0,0,26,4,-,-
Home,suphanan,intercept,0,0,28,79,-,-
Home,jakkapan,intercept,0,0,24,45,-,-
Home,aris,intercept,0,0,39,29,-,-
Home,aris,clear,0,0,9,54,-,-
Home,aris,block,0,0,13,47,-,-
Home,suphanan,getball,0,0,25,51,-,-
Home,aris,foul,0,0,42,14,-,-
Home,ono,intercept,0,0,24,56,-,-
Home,ernesto,clear,0,0,17,50,-,-
Home,picha,intercept,0,0,30,44,-,-
Home,ono,intercept,0,0,12,38,-,-
Home,peeradol,block,0,0,23,38,-,-
Home,aris,clear,0,0,19,15,-,-
Home,aris,intercept,0,0,27,30,-,-
Home,aris,intercept,0,0,10,60,-,-
Home,suphanan,clear,0,0,47,93,-,-
Home,ernesto,clear,0,0,5,27,-,-
Home,ernesto,clear,0,0,15,77,-,-
Home,peeradol,intercept,0,0,3,55,-,-
Home,suphanan,intercept,0,0,11,93,-,-
Home,suphanan,clear,0,0,55,7,-,-
Home,suphanan,getball,0,0,29,81,-,-
Home,ernesto,intercept,0,0,38,7,-,-
Home,suphanan,getball,0,0,28,66,-,-
Home,picha,getball,0,0,58,19,-,-
Home,aris,intercept,0,0,31,48,-,-
Home,ono,block,0,0,37,70,-,-
Home,picha,clear,0,0,54,12,-,-
Home,ono,clear,0,0,12,66,-,-
Home,peeradol,clear,0,0,36,86,-,-
Home,jaroensak,clear,0,0,33,89,-,-
Home,ono,foul,0,0,27,81,-,-
Home,chayawat,intercept,0,0,11,53,-,-
Home,pedro,foul,0,0,57,49,-,-
Home,suphanan,clear,0,0,27,76,-,-
Home,jakkapan,intercept,0,0,39,69,-,-
Home,picha,intercept,0,0,46,15,-,-
Home,ono,intercept,0,0,33,41,-,-
Home,suphanan,clear,0,0,35,85,-,-
Home,jakkapan,clear,0,0,18,88,-,-
Home,ernesto,foul,0,0,28,23,-,-
Home,chayawat,intercept,0,0,6,54,-,-
Home,suphanan,getball,0,0,7,95,-,-
Home,suphanan,clear,0,0,27,85,-,-
Home,pedro,getball,0,0,29,65,-,-
Home,peeradol,getball,0,0,36,57,-,-
