Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Home,chayawat,cross,0,30,88,19,95,50
Home,jaroensak,cross,0,30,94,89,96,53
Home,ono,corner,0,30,100,100,95,59
Home,jakkapan,cross,0,30,17,67,46,86
Home,jaroensak,win1-1,0,30,70,7,0,0
Home,ono,cross,0,30,27,14,69,13
Home,peeradol,through,0,30,27,60,64,55
Home,aris,cross,0,30,24,13,68,13
Home,picha,cross,0,20,56,28,71,40
Home,anurak,cross,0,20,10,66,32,5
Home,ernesto,cross,0,20,23,13,63,17
Home,aris,cross,0,20,34,10,83,19
Home,ernesto,cross,0,20,16,17,54,12
Home,jakkapan,cross,0,20,20,68,67,99
Home,picha,through,0,20,63,81,74,90
Home,chayawat,cross,0,20,25,49,43,8
Home,suphanan,cross,0,20,17,76,36,62
Home,pedro,through,0,20,31,76,53,87
Home,aris,through,0,20,55,9,71,9
Home,ernesto,cross,0,20,79,5,89,45
Home,ernesto,cross,0,20,55,7,77,7
Home,anurak,cross,0,20,8,71,65,68
Home,jakkapan,cross,0,20,40,90,71,69
Home,ernesto,cross,0,20,26,6,68,13
Home,suphanan,cross,0,15,34,55,69,83
Home,jaroensak,cross,0,15,77,92,88,32
Home,chayawat,through,0,15,72,26,79,17
Home,picha,through,0,15,94,26,89,44
Home,jaroensak,cross,0,15,62,79,94,49
Home,ono,cross,0,15,33,61,70,84
Home,peeradol,cross,0,15,54,50,68,26
Home,jaroensak,cross,0,15,42,67,80,10
Home,jaroensak,through,0,15,85,65,79,74
Home,jakkapan,cross,0,20,6,84,38,58
Home,peeradol,through,0,20,21,65,32,77
Home,suphanan,cross,0,20,25,88,73,54
Home,peeradol,win1-1,0,20,37,55,0,0
Home,peeradol,through,0,20,37,69,60,95
Home,chayawat,cross,0,20,59,61,73,90
Home,jaroensak,cross,0,20,88,84,92,50
Home,jaroensak,cross,0,20,88,84,99,10
